record_id,protocol_id,scenario,method,base_training_robot_count,evaluation_robot_count,zero_shot_variable_team_size,training_seed,evaluation_episode_index,safety_envelope,possible_directed_nonself_edge_count,active_conflict_edge_count_mean,active_conflict_edge_count_max,edge_density_mean,CPA_graph_build_time_mean_ms,GAT_message_passing_time_mean_ms,policy_inference_time_mean_ms,policy_inference_time_p95_ms,control_step_time_mean_ms,peak_GPU_memory_MB,real_time_factor,fully_successful_episode,collision_episode,near_miss_episode,average_completion_time_s,makespan_s,average_waiting_time_s,average_path_length_m,min_rr_center_distance_m,episode_wall_time_s,checkpoint_sha256
scal__mixed_complex__CA-GAT-MAPPO__N6__seed7__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,6,1,7,8,ON,30,8.2,11,0.273333,0.1268,0.3816,1.1316,2.0369,1.4,1600,0.89,1,0,0,66.57,78.22,1.727,25.5813,0.8417,73.2,7aecf6a7e53711d5a0f1473913406cc645bbc0aa42ebc65a753ac1a5648703b0
scal__mixed_complex__CA-GAT-MAPPO__N6__seed7__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,6,1,7,9,ON,30,15.7,17,0.523333,0.1487,0.4101,1.2068,2.1723,1.4,1600,0.89,1,0,0,60.94,71.6,0.815,26.564,0.8512,67,7aecf6a7e53711d5a0f1473913406cc645bbc0aa42ebc65a753ac1a5648703b0
scal__mixed_complex__CA-GAT-MAPPO__N8__seed0__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,0,0,ON,56,24.1,26,0.430357,0.1782,0.5733,1.3576,2.4437,1.6,2000,0.83,1,0,0,67.92,81.51,1.967,30.7401,0.8316,74.7,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N8__seed0__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,0,1,ON,56,32.4,33,0.578571,0.1702,0.5303,1.3197,2.3754,1.6,2000,0.83,1,0,0,74.47,89.36,1.13,30.4215,0.8212,81.9,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N8__seed0__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,0,2,ON,56,24.7,26,0.441071,0.1959,0.5677,1.421,2.5579,1.6,2000,0.83,1,0,1,71.39,85.67,1.537,30.505,0.6055,78.5,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N8__seed0__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,0,3,ON,56,29.5,30,0.526786,0.1789,0.5737,1.5343,2.7617,1.6,2000,0.83,1,0,1,74.74,89.69,1.117,31.1069,0.603,82.2,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N8__seed0__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,0,4,ON,56,17.5,18,0.3125,0.1768,0.5155,1.3715,2.4688,1.6,2000,0.83,1,0,0,73.77,88.52,2.04,30.6082,0.8297,81.1,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N8__seed0__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,0,5,ON,56,31.6,33,0.564286,0.1906,0.5188,1.5073,2.7132,1.6,2000,0.83,1,0,0,64.05,76.86,2.064,30.6848,0.8312,70.5,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N8__seed0__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,0,6,ON,56,18.2,19,0.325,0.171,0.5534,1.3176,2.3718,1.6,2000,0.83,1,0,1,73.26,87.91,1.514,30.2727,0.5975,80.6,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N8__seed0__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,0,7,ON,56,17.8,18,0.317857,0.1708,0.5097,1.4266,2.5678,1.6,2000,0.83,1,0,1,73.32,87.98,1.205,30.6797,0.6066,80.6,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N8__seed0__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,0,8,ON,56,22.9,23,0.408929,0.1968,0.5646,1.4734,2.6521,1.6,2000,0.83,1,0,0,71.39,85.66,1.216,31.4247,0.8488,78.5,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N8__seed0__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,0,9,ON,56,18.6,19,0.332143,0.1709,0.569,1.4459,2.6025,1.6,2000,0.83,1,0,0,73.19,87.83,1.599,31.1976,0.8384,80.5,bfcedc1c8f0ae2806ebdc8d7c572ba9275e4a0487907899821a3d107e71101ce
scal__mixed_complex__CA-GAT-MAPPO__N8__seed1__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,1,0,ON,56,26.6,28,0.475,0.1986,0.5535,1.35,2.43,1.6,2000,0.83,1,0,0,63.31,75.98,1.636,30.0018,0.8303,69.6,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N8__seed1__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,1,1,ON,56,18.6,19,0.332143,0.1996,0.5224,1.5836,2.8505,1.6,2000,0.83,1,0,0,63.14,75.77,1.346,30.5838,0.8256,69.5,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N8__seed1__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,1,2,ON,56,17.1,18,0.305357,0.1809,0.5773,1.4871,2.6768,1.6,2000,0.83,1,0,0,73.17,87.8,1.259,30.0837,0.8141,80.5,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N8__seed1__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,1,3,ON,56,23.6,24,0.421429,0.1722,0.5247,1.5177,2.7319,1.6,2000,0.83,1,0,0,65.29,78.35,2.124,30.7967,0.807,71.8,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N8__seed1__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,1,4,ON,56,31.1,34,0.555357,0.1896,0.5775,1.5813,2.8463,1.6,2000,0.83,1,0,0,67.64,81.17,1.647,30.7942,0.8231,74.4,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N8__seed1__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,1,5,ON,56,28.1,29,0.501786,0.1814,0.5368,1.5224,2.7403,1.6,2000,0.83,1,0,0,67.99,81.59,1.182,30.2235,0.8178,74.8,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N8__seed1__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,1,6,ON,56,20.7,21,0.369643,0.1904,0.5784,1.5239,2.743,1.6,2000,0.83,1,0,0,67.1,80.52,1.825,29.6845,0.8395,73.8,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N8__seed1__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,1,7,ON,56,19,21,0.339286,0.1764,0.5547,1.4652,2.6374,1.6,2000,0.83,1,0,0,72.5,87,2.154,29.7874,0.8238,79.8,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N8__seed1__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,1,8,ON,56,23.6,26,0.421429,0.1881,0.5388,1.4617,2.631,1.6,2000,0.83,1,0,0,75.3,90.36,1.672,30.0947,0.8042,82.8,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N8__seed1__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,1,9,ON,56,16.1,19,0.2875,0.1732,0.517,1.4277,2.5699,1.6,2000,0.83,1,0,0,64.94,77.93,1.252,30.2878,0.8169,71.4,8ed99808c66525bebda19333f1531725f5d3205410e0532243400e3764a1fdb8
scal__mixed_complex__CA-GAT-MAPPO__N8__seed2__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,2,0,ON,56,29.8,30,0.532143,0.1936,0.5252,1.5304,2.7548,1.6,2000,0.83,1,0,0,71.09,85.31,1.666,30.7188,0.8329,78.2,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N8__seed2__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,2,1,ON,56,17.7,18,0.316071,0.1818,0.546,1.5467,2.7841,1.6,2000,0.83,1,0,0,73.02,87.62,1.77,30.9314,0.8136,80.3,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N8__seed2__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,2,2,ON,56,22.6,23,0.403571,0.1764,0.5049,1.4199,2.5559,1.6,2000,0.83,1,0,0,66.57,79.89,1.446,29.9381,0.819,73.2,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N8__seed2__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,2,3,ON,56,24.8,27,0.442857,0.195,0.5361,1.3534,2.4361,1.6,2000,0.83,1,0,1,66.75,80.1,1.426,30.8004,0.6127,73.4,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N8__seed2__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,2,4,ON,56,18.6,20,0.332143,0.1788,0.5681,1.3139,2.3651,1.6,2000,0.83,1,0,0,68.65,82.38,1.702,31.0748,0.8415,75.5,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N8__seed2__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,2,5,ON,56,29.9,30,0.533929,0.1932,0.5794,1.4388,2.5899,1.6,2000,0.83,1,0,0,74.13,88.95,1.818,30.2926,0.8064,81.5,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N8__seed2__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,2,6,ON,56,25,26,0.446429,0.178,0.5786,1.3625,2.4524,1.6,2000,0.83,1,0,0,74.82,89.79,1.163,30.7114,0.8165,82.3,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N8__seed2__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,2,7,ON,56,27,29,0.482143,0.1942,0.5763,1.4975,2.6955,1.6,2000,0.83,1,0,0,71.54,85.85,1.311,29.8157,0.8165,78.7,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N8__seed2__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,2,8,ON,56,31.4,34,0.560714,0.1759,0.5387,1.3717,2.4691,1.6,2000,0.83,1,0,0,72.63,87.16,1.312,30.5653,0.8378,79.9,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N8__seed2__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,2,9,ON,56,19,19,0.339286,0.1875,0.5103,1.5242,2.7435,1.6,2000,0.83,1,0,0,69.9,83.88,1.533,30.826,0.8064,76.9,83df6211c82175f2b55c0f388fd343ffc3f228c028273b13498381129ab10241
scal__mixed_complex__CA-GAT-MAPPO__N8__seed3__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,3,0,ON,56,29.5,30,0.526786,0.1818,0.5652,1.3964,2.5135,1.6,2000,0.83,1,0,1,74.65,89.58,1.972,30.3873,0.6039,82.1,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N8__seed3__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,3,1,ON,56,22.7,23,0.405357,0.1929,0.5651,1.4412,2.5941,1.6,2000,0.83,1,0,0,68.86,82.63,1.827,29.6104,0.8109,75.7,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N8__seed3__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,3,2,ON,56,30.9,33,0.551786,0.1783,0.5156,1.368,2.4623,1.6,2000,0.83,1,0,0,69.32,83.19,2.002,30.2635,0.8245,76.3,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N8__seed3__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,3,3,ON,56,27.1,30,0.483929,0.1984,0.5611,1.5314,2.7565,1.6,2000,0.83,1,0,0,72.26,86.72,2.072,30.3082,0.8105,79.5,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N8__seed3__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,3,4,ON,56,24.5,27,0.4375,0.1853,0.5094,1.5479,2.7861,1.6,2000,0.83,1,0,0,66.12,79.35,1.784,30.872,0.8099,72.7,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N8__seed3__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,3,5,ON,56,19.4,20,0.346429,0.1811,0.5234,1.3802,2.4844,1.6,2000,0.83,1,0,0,64.31,77.18,1.557,30.945,0.8244,70.7,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N8__seed3__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,3,6,ON,56,21,23,0.375,0.1941,0.543,1.3604,2.4487,1.6,2000,0.83,1,0,0,71.17,85.4,2.121,30.0623,0.8155,78.3,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N8__seed3__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,3,7,ON,56,28,29,0.5,0.1771,0.5303,1.4408,2.5934,1.6,2000,0.83,1,0,1,71.93,86.32,1.175,30.6957,0.6193,79.1,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N8__seed3__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,3,8,ON,56,22.8,25,0.407143,0.1814,0.5646,1.444,2.5992,1.6,2000,0.83,1,0,0,72.56,87.08,1.468,31.7672,0.8159,79.8,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N8__seed3__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,3,9,ON,56,18.1,20,0.323214,0.1971,0.5025,1.4085,2.5354,1.6,2000,0.83,1,0,0,75.11,90.14,1.906,29.9322,0.8245,82.6,db73792d69e34f730009208f36e16377f566a0653b487afb0c9e2546504e61a0
scal__mixed_complex__CA-GAT-MAPPO__N8__seed4__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,4,0,ON,56,17.2,18,0.307143,0.1929,0.5081,1.3765,2.4776,1.6,2000,0.83,1,0,1,75.78,90.93,1.761,31.0741,0.5771,83.4,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N8__seed4__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,4,1,ON,56,19.7,20,0.351786,0.1709,0.5028,1.5314,2.7565,1.6,2000,0.83,1,0,0,74.81,89.77,2.042,29.9103,0.8008,82.3,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N8__seed4__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,4,2,ON,56,20.2,22,0.360714,0.1745,0.5599,1.4543,2.6178,1.6,2000,0.83,1,0,0,65.83,79,1.903,30.4727,0.8045,72.4,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N8__seed4__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,4,3,ON,56,21.9,22,0.391071,0.181,0.516,1.4349,2.5828,1.6,2000,0.83,1,0,0,69.27,83.12,2.156,30.0968,0.8105,76.2,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N8__seed4__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,4,4,ON,56,21.7,22,0.3875,0.19,0.5249,1.4443,2.5997,1.6,2000,0.83,1,0,0,69,82.8,1.85,30.4282,0.7899,75.9,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N8__seed4__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,4,5,ON,56,19.1,21,0.341071,0.1997,0.5191,1.3172,2.3709,1.6,2000,0.83,1,0,0,74.26,89.11,1.41,30.7083,0.8398,81.7,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N8__seed4__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,4,6,ON,56,31.5,32,0.5625,0.1772,0.5634,1.45,2.6099,1.6,2000,0.83,1,0,0,70.98,85.18,1.982,30.3608,0.8109,78.1,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N8__seed4__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,4,7,ON,56,18.4,19,0.328571,0.1705,0.5172,1.4268,2.5682,1.6,2000,0.83,0,1,1,72.39,86.86,1.707,29.5248,0.603,79.6,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N8__seed4__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,4,8,ON,56,31.9,32,0.569643,0.1811,0.5707,1.5624,2.8123,1.6,2000,0.83,1,0,0,63.39,76.07,1.635,30.033,0.8218,69.7,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N8__seed4__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,4,9,ON,56,32.7,33,0.583929,0.1798,0.5084,1.3518,2.4333,1.6,2000,0.83,1,0,0,70.07,84.08,1.56,30.52,0.8176,77.1,f5e210f1f3eada71e80dc9a96ddd0372317557285c215726f7fc87779a373c42
scal__mixed_complex__CA-GAT-MAPPO__N8__seed5__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,5,0,ON,56,29.8,30,0.532143,0.1715,0.5268,1.4514,2.6126,1.6,2000,0.83,1,0,0,72.35,86.82,1.352,30.667,0.8384,79.6,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N8__seed5__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,5,1,ON,56,27.2,29,0.485714,0.1839,0.5277,1.5091,2.7164,1.6,2000,0.83,1,0,0,74.85,89.82,2.112,30.9122,0.8415,82.3,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N8__seed5__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,5,2,ON,56,24.5,27,0.4375,0.1922,0.5521,1.3765,2.4778,1.6,2000,0.83,1,0,0,68,81.6,1.508,31.768,0.8224,74.8,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N8__seed5__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,5,3,ON,56,17.7,19,0.316071,0.1921,0.531,1.3577,2.4438,1.6,2000,0.83,1,0,1,63.22,75.87,1.507,30.8959,0.6061,69.5,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N8__seed5__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,5,4,ON,56,25.9,26,0.4625,0.1794,0.535,1.4557,2.6203,1.6,2000,0.83,1,0,0,74.5,89.4,2.048,30.5216,0.8108,81.9,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N8__seed5__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,5,5,ON,56,26.1,27,0.466071,0.1946,0.5073,1.5359,2.7646,1.6,2000,0.83,0,1,1,72.66,87.19,1.237,31.0231,0.5982,79.9,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N8__seed5__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,5,6,ON,56,29.5,32,0.526786,0.1798,0.5292,1.3757,2.4763,1.6,2000,0.83,1,0,0,72.31,86.78,1.1,30.5106,0.8154,79.5,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N8__seed5__ep07,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,5,7,ON,56,32.7,33,0.583929,0.1798,0.5193,1.3992,2.5186,1.6,2000,0.83,1,0,0,66.66,79.99,1.707,29.7338,0.8222,73.3,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N8__seed5__ep08,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,5,8,ON,56,22.5,23,0.401786,0.1732,0.5399,1.5661,2.8191,1.6,2000,0.83,0,1,1,73.19,87.83,1.908,29.9154,0.5826,80.5,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N8__seed5__ep09,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,5,9,ON,56,16.4,17,0.292857,0.178,0.5337,1.3541,2.4374,1.6,2000,0.83,1,0,0,65.37,78.44,1.547,29.3704,0.8157,71.9,da29fb12dd230cb7a8ee1e88c60ca8b2d6077612165ed390a9456fb3ca05bd64
scal__mixed_complex__CA-GAT-MAPPO__N8__seed6__ep00,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,6,0,ON,56,24.4,25,0.435714,0.1974,0.5396,1.3382,2.4087,1.6,2000,0.83,1,0,1,70.25,84.29,1.106,30.3838,0.5729,77.3,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N8__seed6__ep01,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,6,1,ON,56,17.5,18,0.3125,0.1965,0.5643,1.423,2.5614,1.6,2000,0.83,1,0,0,69.76,83.71,1.465,31.2445,0.7987,76.7,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N8__seed6__ep02,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,6,2,ON,56,26.6,27,0.475,0.194,0.5009,1.4067,2.5321,1.6,2000,0.83,1,0,0,64.83,77.79,1.348,29.7706,0.8252,71.3,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N8__seed6__ep03,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,6,3,ON,56,25.7,27,0.458929,0.1802,0.5168,1.317,2.3706,1.6,2000,0.83,1,0,0,75.63,90.75,1.226,30.3795,0.8087,83.2,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N8__seed6__ep04,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,6,4,ON,56,29.2,30,0.521429,0.1792,0.5462,1.3462,2.4232,1.6,2000,0.83,1,0,1,72,86.4,1.884,31.0183,0.6063,79.2,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N8__seed6__ep05,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,6,5,ON,56,29.7,31,0.530357,0.1887,0.5249,1.5766,2.8378,1.6,2000,0.83,1,0,0,74.62,89.54,1.794,30.8634,0.8051,82.1,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
scal__mixed_complex__CA-GAT-MAPPO__N8__seed6__ep06,zero_shot_team_size_stress,mixed_complex,CA-GAT-MAPPO,4,8,1,6,6,ON,56,20.3,21,0.3625,0.1761,0.5142,1.4115,2.5407,1.6,2000,0.83,1,0,0,70.94,85.12,1.512,29.7622,0.8218,78,ed09582cb314a7d6fb62a2969e8ec146c4ad5a35bbded88314c57cd591ec5719
