record_id,protocol_id,scenario,controller,group_type,group_id,evaluation_episode_index,robot_count,safety_envelope,control_step_s,fully_successful_episode,successful_robots,collision_episode,collision_type,rr_near_miss_count,rp_near_miss_count,intervention_count,evaluated_command_count,intervention_ratio,mean_normalized_intervention_magnitude,episode_max_normalized_intervention_magnitude,average_completion_time_s,makespan_s,average_waiting_time_s,min_rr_center_distance_m,min_rp_center_distance_m,checkpoint_sha256,evaluation_seed_e,robot_random_seed,pedestrian_random_seed,draw_id
audit__static_clutter__IPPO__g4__ep03,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,4,3,4,ON,0.1,1,4,0,N/A,0,N/A,271,859,0.315483119906868,0.120323,0.999,34.0326,38.1165,2.2915,0.677632,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7,40003,40003120012,N/A (no pedestrians),draw_static_clutter_IPPO_g4_ep3
audit__static_clutter__IPPO__g4__ep04,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,4,4,4,ON,0.1,1,4,0,N/A,0,N/A,275,888,0.309684684684685,0.114861,0.999,33.068,37.0362,1.6569,0.639209,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7,40004,40004120016,N/A (no pedestrians),draw_static_clutter_IPPO_g4_ep4
audit__static_clutter__IPPO__g4__ep05,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,4,5,4,ON,0.1,1,4,0,N/A,0,N/A,269,847,0.317591499409681,0.129152,0.999,30.1606,33.7798,2.3838,0.669218,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7,40005,40005120020,N/A (no pedestrians),draw_static_clutter_IPPO_g4_ep5
audit__static_clutter__IPPO__g4__ep06,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,4,6,4,ON,0.1,1,4,0,N/A,0,N/A,265,896,0.295758928571428,0.107425,0.999,34.741,38.91,1.9522,0.667696,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7,40006,40006120024,N/A (no pedestrians),draw_static_clutter_IPPO_g4_ep6
audit__static_clutter__IPPO__g4__ep07,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,4,7,4,ON,0.1,1,4,0,N/A,0,N/A,302,981,0.307849133537207,0.111782,0.999,30.3957,34.0432,1.287,0.69772,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7,40007,40007120028,N/A (no pedestrians),draw_static_clutter_IPPO_g4_ep7
audit__static_clutter__IPPO__g4__ep08,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,4,8,4,ON,0.1,1,4,0,N/A,0,N/A,259,834,0.310551558752998,0.112965,0.999,33.6287,37.6642,1.3683,0.632731,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7,40008,40008120032,N/A (no pedestrians),draw_static_clutter_IPPO_g4_ep8
audit__static_clutter__IPPO__g4__ep09,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,4,9,4,ON,0.1,1,4,0,N/A,0,N/A,284,897,0.316610925306577,0.111464,0.999,33.5217,37.5442,1.37,0.703486,N/A,9ce87c00805ddeaf59283931abc8d72ac6818b0e69a066945d97a16097d121f7,40009,40009120036,N/A (no pedestrians),draw_static_clutter_IPPO_g4_ep9
audit__static_clutter__IPPO__g5__ep00,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,5,0,4,ON,0.1,1,4,0,N/A,0,N/A,419,1305,0.321072796934866,0.099872,1.009,30.8485,34.5503,1.6035,0.658812,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b,50000,50000150000,N/A (no pedestrians),draw_static_clutter_IPPO_g5_ep0
audit__static_clutter__IPPO__g5__ep01,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,5,1,4,ON,0.1,1,4,0,N/A,0,N/A,443,1273,0.347996857816182,0.117783,0.989,30.0542,33.6607,2.0423,0.702072,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b,50001,50001150004,N/A (no pedestrians),draw_static_clutter_IPPO_g5_ep1
audit__static_clutter__IPPO__g5__ep02,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,5,2,4,ON,0.1,1,4,0,N/A,0,N/A,455,1517,0.299934080421885,0.120488,0.999,32.6137,36.5273,1.7957,0.704139,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b,50002,50002150008,N/A (no pedestrians),draw_static_clutter_IPPO_g5_ep2
audit__static_clutter__IPPO__g5__ep03,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,5,3,4,ON,0.1,1,4,0,N/A,0,N/A,429,1352,0.317307692307692,0.102571,0.999,33.2813,37.2751,2.3301,0.704556,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b,50003,50003150012,N/A (no pedestrians),draw_static_clutter_IPPO_g5_ep3
audit__static_clutter__IPPO__g5__ep04,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,5,4,4,ON,0.1,1,4,0,N/A,0,N/A,424,1384,0.30635838150289,0.104626,0.999,33.7249,37.7719,1.6877,0.662017,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b,50004,50004150016,N/A (no pedestrians),draw_static_clutter_IPPO_g5_ep4
audit__static_clutter__IPPO__g5__ep05,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,5,5,4,ON,0.1,1,4,0,N/A,0,N/A,449,1434,0.313110181311018,0.122669,0.999,33.3724,37.3771,2.0111,0.687217,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b,50005,50005150020,N/A (no pedestrians),draw_static_clutter_IPPO_g5_ep5
audit__static_clutter__IPPO__g5__ep06,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,5,6,4,ON,0.1,1,4,0,N/A,0,N/A,426,1424,0.299157303370786,0.123028,0.999,32.2156,36.0815,1.4904,0.663464,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b,50006,50006150024,N/A (no pedestrians),draw_static_clutter_IPPO_g5_ep6
audit__static_clutter__IPPO__g5__ep07,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,5,7,4,ON,0.1,1,4,0,N/A,0,N/A,398,1365,0.291575091575092,0.118601,0.999,32.6924,36.6155,1.152,0.671829,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b,50007,50007150028,N/A (no pedestrians),draw_static_clutter_IPPO_g5_ep7
audit__static_clutter__IPPO__g5__ep08,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,5,8,4,ON,0.1,1,4,0,N/A,0,N/A,441,1527,0.288801571709234,0.120319,0.999,32.9513,36.9054,1.5942,0.636296,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b,50008,50008150032,N/A (no pedestrians),draw_static_clutter_IPPO_g5_ep8
audit__static_clutter__IPPO__g5__ep09,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,5,9,4,ON,0.1,1,4,0,N/A,0,N/A,421,1461,0.288158795345654,0.108238,0.999,31.4397,35.2124,1.0934,0.674094,N/A,f7367bcdbb9ed0a72de22fa47cc2b3c98f9f2911920a43a77f7c00d41934df2b,50009,50009150036,N/A (no pedestrians),draw_static_clutter_IPPO_g5_ep9
audit__static_clutter__IPPO__g6__ep00,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,6,0,4,ON,0.1,1,4,0,N/A,0,N/A,540,1829,0.295243302351011,0.104822,1.009,30.2568,33.8876,1.0604,0.683114,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460,60000,60000180000,N/A (no pedestrians),draw_static_clutter_IPPO_g6_ep0
audit__static_clutter__IPPO__g6__ep01,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,6,1,4,ON,0.1,1,4,0,N/A,0,N/A,504,1725,0.292173913043478,0.109356,0.989,30.202,33.8263,1.5764,0.706054,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460,60001,60001180004,N/A (no pedestrians),draw_static_clutter_IPPO_g6_ep1
audit__static_clutter__IPPO__g6__ep02,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,6,2,4,ON,0.1,1,4,0,N/A,0,N/A,498,1671,0.29802513464991,0.109718,0.999,33.3606,37.3639,1.2242,0.683462,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460,60002,60002180008,N/A (no pedestrians),draw_static_clutter_IPPO_g6_ep2
audit__static_clutter__IPPO__g6__ep03,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,6,3,4,ON,0.1,1,4,0,N/A,0,N/A,538,1784,0.301569506726457,0.11209,0.999,31.9348,35.767,1.555,0.689833,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460,60003,60003180012,N/A (no pedestrians),draw_static_clutter_IPPO_g6_ep3
audit__static_clutter__IPPO__g6__ep04,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,6,4,4,ON,0.1,1,4,0,N/A,0,N/A,520,1891,0.274986779481756,0.1212,0.999,32.8882,36.8347,1.1324,0.644311,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460,60004,60004180016,N/A (no pedestrians),draw_static_clutter_IPPO_g6_ep4
audit__static_clutter__IPPO__g6__ep05,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,6,5,4,ON,0.1,1,4,0,N/A,0,N/A,551,1838,0.299782372143634,0.102637,0.999,30.8641,34.5678,1.4261,0.667584,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460,60005,60005180020,N/A (no pedestrians),draw_static_clutter_IPPO_g6_ep5
audit__static_clutter__IPPO__g6__ep06,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,6,6,4,ON,0.1,1,4,0,N/A,0,N/A,526,1799,0.292384658143413,0.125239,0.999,30.8014,34.4975,1.203,0.662421,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460,60006,60006180024,N/A (no pedestrians),draw_static_clutter_IPPO_g6_ep6
audit__static_clutter__IPPO__g6__ep07,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,6,7,4,ON,0.1,1,4,0,N/A,0,N/A,487,1733,0.281015579919215,0.120147,0.999,31.4524,35.2267,1.9284,0.661589,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460,60007,60007180028,N/A (no pedestrians),draw_static_clutter_IPPO_g6_ep7
audit__static_clutter__IPPO__g6__ep08,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,6,8,4,ON,0.1,1,4,0,N/A,0,N/A,515,1941,0.265327150953117,0.116395,0.999,34.7,38.864,2.0082,0.684965,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460,60008,60008180032,N/A (no pedestrians),draw_static_clutter_IPPO_g6_ep8
audit__static_clutter__IPPO__g6__ep09,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,6,9,4,ON,0.1,1,4,0,N/A,0,N/A,577,2129,0.271019257867543,0.102356,0.999,34.2301,38.3377,1.4498,0.708859,N/A,937371beb7fdbbea65cd615566ed05051f7035bf817ee047a2019f4e0939a460,60009,60009180036,N/A (no pedestrians),draw_static_clutter_IPPO_g6_ep9
audit__static_clutter__IPPO__g7__ep00,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,7,0,4,ON,0.1,1,4,0,N/A,0,N/A,433,1450,0.298620689655172,0.104142,1.009,31.5422,35.3273,1.5989,0.648151,N/A,a0a845140d55074030db87dd4690353541ab9398bd75fde564a7939169508d10,70000,70000210000,N/A (no pedestrians),draw_static_clutter_IPPO_g7_ep0
audit__static_clutter__IPPO__g7__ep01,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,7,1,4,ON,0.1,1,4,0,N/A,0,N/A,419,1663,0.251954299458809,0.113083,0.989,30.8458,34.5473,1.8576,0.703786,N/A,a0a845140d55074030db87dd4690353541ab9398bd75fde564a7939169508d10,70001,70001210004,N/A (no pedestrians),draw_static_clutter_IPPO_g7_ep1
audit__static_clutter__IPPO__g7__ep02,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,7,2,4,ON,0.1,1,4,0,N/A,0,N/A,417,1350,0.308888888888889,0.119825,0.999,33.3154,37.3132,2.0391,0.701139,N/A,a0a845140d55074030db87dd4690353541ab9398bd75fde564a7939169508d10,70002,70002210008,N/A (no pedestrians),draw_static_clutter_IPPO_g7_ep2
audit__static_clutter__IPPO__g7__ep03,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,7,3,4,ON,0.1,1,4,0,N/A,0,N/A,442,1401,0.315488936473947,0.122465,0.999,34.9099,39.099,2.3486,0.695874,N/A,a0a845140d55074030db87dd4690353541ab9398bd75fde564a7939169508d10,70003,70003210012,N/A (no pedestrians),draw_static_clutter_IPPO_g7_ep3
audit__static_clutter__IPPO__g7__ep04,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,7,4,4,ON,0.1,1,4,0,N/A,0,N/A,446,1470,0.303401360544218,0.126018,0.999,34.4567,38.5915,1.27,0.645161,N/A,a0a845140d55074030db87dd4690353541ab9398bd75fde564a7939169508d10,70004,70004210016,N/A (no pedestrians),draw_static_clutter_IPPO_g7_ep4
audit__static_clutter__IPPO__g7__ep05,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,7,5,4,ON,0.1,1,4,0,N/A,0,N/A,450,1385,0.324909747292419,0.107978,0.999,33.5718,37.6004,2.2387,0.638571,N/A,a0a845140d55074030db87dd4690353541ab9398bd75fde564a7939169508d10,70005,70005210020,N/A (no pedestrians),draw_static_clutter_IPPO_g7_ep5
audit__static_clutter__IPPO__g7__ep06,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,7,6,4,ON,0.1,1,4,0,N/A,0,N/A,390,1178,0.33106960950764,0.1077,0.999,34.6115,38.7649,1.5432,0.690106,N/A,a0a845140d55074030db87dd4690353541ab9398bd75fde564a7939169508d10,70006,70006210024,N/A (no pedestrians),draw_static_clutter_IPPO_g7_ep6
audit__static_clutter__IPPO__g7__ep07,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,7,7,4,ON,0.1,1,4,0,N/A,0,N/A,406,1317,0.308276385725133,0.109687,0.999,30.7981,34.4938,1.1986,0.685252,N/A,a0a845140d55074030db87dd4690353541ab9398bd75fde564a7939169508d10,70007,70007210028,N/A (no pedestrians),draw_static_clutter_IPPO_g7_ep7
audit__static_clutter__IPPO__g7__ep08,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,7,8,4,ON,0.1,1,4,0,N/A,0,N/A,413,1375,0.300363636363636,0.126149,0.999,31.1237,34.8585,1.3349,0.638481,N/A,a0a845140d55074030db87dd4690353541ab9398bd75fde564a7939169508d10,70008,70008210032,N/A (no pedestrians),draw_static_clutter_IPPO_g7_ep8
audit__static_clutter__IPPO__g7__ep09,safety_envelope_intervention_audit,static_clutter,IPPO,training_checkpoint,7,9,4,ON,0.1,1,4,0,N/A,0,N/A,429,1403,0.305773342836778,0.116658,0.999,33.4401,37.453,1.0585,0.691172,N/A,a0a845140d55074030db87dd4690353541ab9398bd75fde564a7939169508d10,70009,70009210036,N/A (no pedestrians),draw_static_clutter_IPPO_g7_ep9
audit__dynamic_pedestrians__IPPO__g0__ep00,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,0,0,4,ON,0.1,1,4,0,N/A,0,0,668,1766,0.378255945639864,0.150682,0.847741,33.6268,37.6621,2.3605,0.682275,0.819472,b312ef205850c6002595548e5966a018cd5b1afcaea3151a64e15dbd1128b2ff,100,100000300,100000397,draw_dynamic_pedestrians_IPPO_g0_ep0
audit__dynamic_pedestrians__IPPO__g0__ep01,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,0,1,4,ON,0.1,1,4,0,N/A,0,0,675,1715,0.393586005830904,0.137636,0.863313,32.8229,36.7616,1.0862,0.662953,0.89156,b312ef205850c6002595548e5966a018cd5b1afcaea3151a64e15dbd1128b2ff,101,101000304,101000401,draw_dynamic_pedestrians_IPPO_g0_ep1
audit__dynamic_pedestrians__IPPO__g0__ep02,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,0,2,4,ON,0.1,1,4,0,N/A,0,0,701,2051,0.341784495368113,0.127823,0.828314,31.2919,35.0469,2.47,0.683564,0.870787,b312ef205850c6002595548e5966a018cd5b1afcaea3151a64e15dbd1128b2ff,102,102000308,102000405,draw_dynamic_pedestrians_IPPO_g0_ep2
audit__dynamic_pedestrians__IPPO__g0__ep03,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,0,3,4,ON,0.1,1,4,0,N/A,0,0,620,1655,0.374622356495468,0.120551,0.86594,31.3592,35.1223,1.9811,0.658853,0.835682,b312ef205850c6002595548e5966a018cd5b1afcaea3151a64e15dbd1128b2ff,103,103000312,103000409,draw_dynamic_pedestrians_IPPO_g0_ep3
audit__dynamic_pedestrians__IPPO__g0__ep04,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,0,4,4,ON,0.1,1,4,0,N/A,0,0,665,1723,0.38595473012188,0.132339,0.824763,34.1944,38.2977,1.141,0.645719,0.881609,b312ef205850c6002595548e5966a018cd5b1afcaea3151a64e15dbd1128b2ff,104,104000316,104000413,draw_dynamic_pedestrians_IPPO_g0_ep4
audit__dynamic_pedestrians__IPPO__g0__ep05,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,0,5,4,ON,0.1,1,4,0,N/A,0,0,668,1636,0.408312958435208,0.119907,0.837626,34.833,39.013,2.4937,0.66914,0.817693,b312ef205850c6002595548e5966a018cd5b1afcaea3151a64e15dbd1128b2ff,105,105000320,105000417,draw_dynamic_pedestrians_IPPO_g0_ep5
audit__dynamic_pedestrians__IPPO__g0__ep06,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,0,6,4,ON,0.1,1,4,0,N/A,0,0,708,1785,0.396638655462185,0.137337,0.870716,31.7919,35.607,1.8595,0.668459,0.860509,b312ef205850c6002595548e5966a018cd5b1afcaea3151a64e15dbd1128b2ff,106,106000324,106000421,draw_dynamic_pedestrians_IPPO_g0_ep6
audit__dynamic_pedestrians__IPPO__g0__ep07,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,0,7,4,ON,0.1,1,4,0,N/A,0,0,702,1995,0.35187969924812,0.147645,0.870208,33.1464,37.1239,1.2017,0.642266,0.889148,b312ef205850c6002595548e5966a018cd5b1afcaea3151a64e15dbd1128b2ff,107,107000328,107000425,draw_dynamic_pedestrians_IPPO_g0_ep7
audit__dynamic_pedestrians__IPPO__g0__ep08,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,0,8,4,ON,0.1,1,4,0,N/A,0,0,677,1740,0.389080459770115,0.129624,0.841903,34.2794,38.393,2.1944,0.706969,0.830867,b312ef205850c6002595548e5966a018cd5b1afcaea3151a64e15dbd1128b2ff,108,108000332,108000429,draw_dynamic_pedestrians_IPPO_g0_ep8
audit__dynamic_pedestrians__IPPO__g0__ep09,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,0,9,4,ON,0.1,1,4,0,N/A,0,0,645,1790,0.360335195530726,0.144641,0.869477,33.5991,37.631,1.4934,0.667644,0.896012,b312ef205850c6002595548e5966a018cd5b1afcaea3151a64e15dbd1128b2ff,109,109000336,109000433,draw_dynamic_pedestrians_IPPO_g0_ep9
audit__dynamic_pedestrians__IPPO__g1__ep00,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,1,0,4,ON,0.1,1,4,0,N/A,0,0,406,1021,0.397649363369246,0.130856,0.868345,32.8493,36.7912,1.4763,0.676808,0.861406,d9c02963765f119dd2d4a15519351a61bf2b18ceb69e21d244527e42ece7f41e,10100,10100030300,10100030397,draw_dynamic_pedestrians_IPPO_g1_ep0
audit__dynamic_pedestrians__IPPO__g1__ep01,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,1,1,4,ON,0.1,1,4,0,N/A,0,0,405,999,0.405405405405405,0.12054,0.878324,32.1061,35.9588,2.4734,0.695687,0.914503,d9c02963765f119dd2d4a15519351a61bf2b18ceb69e21d244527e42ece7f41e,10101,10101030304,10101030401,draw_dynamic_pedestrians_IPPO_g1_ep1
audit__dynamic_pedestrians__IPPO__g1__ep02,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,1,2,4,ON,0.1,1,4,0,N/A,0,0,408,1115,0.365919282511211,0.133225,0.854439,31.4727,35.2495,2.3237,0.661952,0.895058,d9c02963765f119dd2d4a15519351a61bf2b18ceb69e21d244527e42ece7f41e,10102,10102030308,10102030405,draw_dynamic_pedestrians_IPPO_g1_ep2
audit__dynamic_pedestrians__IPPO__g1__ep03,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,1,3,4,ON,0.1,1,4,0,N/A,0,0,394,1064,0.370300751879699,0.147796,0.844959,34.8736,39.0584,1.6028,0.635047,0.839863,d9c02963765f119dd2d4a15519351a61bf2b18ceb69e21d244527e42ece7f41e,10103,10103030312,10103030409,draw_dynamic_pedestrians_IPPO_g1_ep3
audit__dynamic_pedestrians__IPPO__g1__ep04,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,1,4,4,ON,0.1,1,4,0,N/A,0,0,385,1052,0.365969581749049,0.133791,0.840978,32.7051,36.6297,1.7098,0.637278,0.880509,d9c02963765f119dd2d4a15519351a61bf2b18ceb69e21d244527e42ece7f41e,10104,10104030316,10104030413,draw_dynamic_pedestrians_IPPO_g1_ep4
audit__dynamic_pedestrians__IPPO__g1__ep05,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,1,5,4,ON,0.1,1,4,0,N/A,0,0,424,1124,0.377224199288256,0.159772,0.839241,32.4722,36.3688,1.7814,0.645088,0.820616,d9c02963765f119dd2d4a15519351a61bf2b18ceb69e21d244527e42ece7f41e,10105,10105030320,10105030417,draw_dynamic_pedestrians_IPPO_g1_ep5
audit__dynamic_pedestrians__IPPO__g1__ep06,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,1,6,4,ON,0.1,1,4,0,N/A,0,0,400,997,0.401203610832498,0.130755,0.835363,33.8053,37.862,2.4868,0.663257,0.820536,d9c02963765f119dd2d4a15519351a61bf2b18ceb69e21d244527e42ece7f41e,10106,10106030324,10106030421,draw_dynamic_pedestrians_IPPO_g1_ep6
audit__dynamic_pedestrians__IPPO__g1__ep07,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,1,7,4,ON,0.1,1,4,0,N/A,0,0,410,1073,0.38210624417521,0.127837,0.831627,33.0267,36.9899,1.6983,0.656611,0.847294,d9c02963765f119dd2d4a15519351a61bf2b18ceb69e21d244527e42ece7f41e,10107,10107030328,10107030425,draw_dynamic_pedestrians_IPPO_g1_ep7
audit__dynamic_pedestrians__IPPO__g1__ep08,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,1,8,4,ON,0.1,1,4,0,N/A,0,0,409,1101,0.371480472297911,0.147937,0.887833,32.6419,36.559,2.4242,0.639781,0.843541,d9c02963765f119dd2d4a15519351a61bf2b18ceb69e21d244527e42ece7f41e,10108,10108030332,10108030429,draw_dynamic_pedestrians_IPPO_g1_ep8
audit__dynamic_pedestrians__IPPO__g1__ep09,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,1,9,4,ON,0.1,1,4,0,N/A,0,0,385,1035,0.371980676328502,0.132528,0.838891,30.1969,33.8205,1.3144,0.644989,0.89038,d9c02963765f119dd2d4a15519351a61bf2b18ceb69e21d244527e42ece7f41e,10109,10109030336,10109030433,draw_dynamic_pedestrians_IPPO_g1_ep9
audit__dynamic_pedestrians__IPPO__g2__ep00,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,2,0,4,ON,0.1,1,4,0,N/A,0,0,373,1037,0.359691417550627,0.14285,0.84096,30.1512,33.7693,1.0612,0.684146,0.812212,079dc55227c823d2038fb781f829a1517493628ffdf9b8844df83ced833e96ed,20100,20100060300,20100060397,draw_dynamic_pedestrians_IPPO_g2_ep0
audit__dynamic_pedestrians__IPPO__g2__ep01,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,2,1,4,ON,0.1,1,4,0,N/A,0,0,382,1203,0.317539484621779,0.133188,0.833769,31.112,34.8455,1.0904,0.645594,0.808723,079dc55227c823d2038fb781f829a1517493628ffdf9b8844df83ced833e96ed,20101,20101060304,20101060401,draw_dynamic_pedestrians_IPPO_g2_ep1
audit__dynamic_pedestrians__IPPO__g2__ep02,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,2,2,4,ON,0.1,1,4,0,N/A,0,0,401,1199,0.334445371142619,0.141387,0.851848,30.0094,33.6105,1.5819,0.695874,0.874931,079dc55227c823d2038fb781f829a1517493628ffdf9b8844df83ced833e96ed,20102,20102060308,20102060405,draw_dynamic_pedestrians_IPPO_g2_ep2
audit__dynamic_pedestrians__IPPO__g2__ep03,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,2,3,4,ON,0.1,1,4,0,N/A,0,0,401,1210,0.331404958677686,0.145889,0.86212,30.3552,33.9978,1.5668,0.68339,0.816866,079dc55227c823d2038fb781f829a1517493628ffdf9b8844df83ced833e96ed,20103,20103060312,20103060409,draw_dynamic_pedestrians_IPPO_g2_ep3
audit__dynamic_pedestrians__IPPO__g2__ep04,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,2,4,4,ON,0.1,1,4,0,N/A,0,0,367,1100,0.333636363636364,0.135244,0.872319,31.263,35.0145,1.1751,0.701814,0.832801,079dc55227c823d2038fb781f829a1517493628ffdf9b8844df83ced833e96ed,20104,20104060316,20104060413,draw_dynamic_pedestrians_IPPO_g2_ep4
audit__dynamic_pedestrians__IPPO__g2__ep05,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,2,5,4,ON,0.1,1,4,0,N/A,0,0,373,1203,0.310058187863674,0.153689,0.850187,34.0646,38.1523,2.2018,0.672783,0.906017,079dc55227c823d2038fb781f829a1517493628ffdf9b8844df83ced833e96ed,20105,20105060320,20105060417,draw_dynamic_pedestrians_IPPO_g2_ep5
audit__dynamic_pedestrians__IPPO__g2__ep06,safety_envelope_intervention_audit,dynamic_pedestrians,IPPO,training_checkpoint,2,6,4,ON,0.1,1,4,0,N/A,0,0,340,983,0.34587995930824,0.158427,0.866298,33.0341,36.9982,1.2801,0.68084,0.895576,079dc55227c823d2038fb781f829a1517493628ffdf9b8844df83ced833e96ed,20106,20106060324,20106060421,draw_dynamic_pedestrians_IPPO_g2_ep6
